APP,VSZ(GB),RSS(GB)
621,0.01,0.00
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.17
621,0.43,0.17
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.17
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.17
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.17
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.17
621,0.43,0.17
621,0.43,0.17
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.17
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.17
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.17
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.17
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.17
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
621,0.43,0.17
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.18
621,0.43,0.17
