APP,VSZ(GB),RSS(GB)
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,116.58,116.56
XSBench_XL,0.00,0.00
XSBench_XL,0.00,0.00
XSBench_XL,0.00,0.00
XSBench_XL,0.00,0.00
XSBench_XL,0.00,0.00
XSBench_XL,0.00,0.00
XSBench_XL,0.00,0.00
XSBench_XL,0.00,0.00
