APP,VSZ(GB),RSS(GB)
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,5.54,5.51
XSBench_large,0.00,0.00
