APP,VSZ(GB),RSS(GB)
bc_22,0.82,0.59
bc_22,0.82,0.60
bc_22,0.82,0.60
bc_22,0.82,0.60
bc_22,0.82,0.60
bc_22,0.82,0.60
bc_22,0.82,0.60
bc_22,0.82,0.60
bc_22,0.82,0.60
bc_22,0.82,0.60
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
bc_22,0.84,0.62
