APP,VSZ(GB),RSS(GB)
bfs_28,34.59,33.62
bfs_28,35.84,34.68
bfs_28,35.84,34.76
bfs_28,35.84,34.77
bfs_28,35.84,34.77
bfs_28,34.78,33.86
bfs_28,34.78,34.54
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,34.78,33.70
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.64
bfs_28,35.84,34.76
bfs_28,35.84,34.81
bfs_28,35.84,34.81
bfs_28,35.84,34.81
bfs_28,34.78,34.51
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,34.78,34.31
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,34.78,34.09
bfs_28,35.84,34.73
bfs_28,35.84,34.79
bfs_28,35.84,34.81
bfs_28,35.84,34.81
bfs_28,35.84,34.81
bfs_28,35.84,34.65
bfs_28,35.84,34.67
bfs_28,35.84,34.67
bfs_28,34.78,33.60
bfs_28,35.84,34.67
bfs_28,35.84,34.67
bfs_28,35.84,34.67
bfs_28,34.78,34.05
bfs_28,35.84,34.73
bfs_28,35.84,34.75
bfs_28,35.84,34.75
bfs_28,34.78,34.06
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.62
bfs_28,35.84,34.75
bfs_28,35.84,34.78
bfs_28,35.84,34.78
bfs_28,35.84,34.78
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,34.78,33.58
bfs_28,35.84,34.69
bfs_28,35.84,34.77
bfs_28,35.84,34.78
bfs_28,35.84,34.78
bfs_28,34.78,33.98
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,34.78,34.12
bfs_28,35.84,34.73
bfs_28,35.84,34.79
bfs_28,35.84,34.81
bfs_28,35.84,34.81
bfs_28,34.78,33.69
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.67
bfs_28,35.84,34.76
bfs_28,35.84,34.80
bfs_28,35.84,34.80
bfs_28,35.84,34.81
bfs_28,35.84,34.67
bfs_28,35.84,34.77
bfs_28,35.84,34.78
bfs_28,35.84,34.78
bfs_28,34.78,34.20
bfs_28,35.84,34.65
bfs_28,35.84,34.65
bfs_28,35.84,34.68
bfs_28,35.84,34.66
bfs_28,35.84,34.70
bfs_28,35.84,34.70
bfs_28,34.78,34.26
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,34.78,34.18
bfs_28,35.84,34.73
bfs_28,35.84,34.79
bfs_28,35.84,34.81
bfs_28,35.84,34.81
bfs_28,34.78,34.29
bfs_28,35.84,34.74
bfs_28,35.84,34.80
bfs_28,35.84,34.81
bfs_28,35.84,34.81
bfs_28,34.78,34.31
bfs_28,35.84,34.74
bfs_28,35.84,34.80
bfs_28,35.84,34.81
bfs_28,35.84,34.81
bfs_28,34.78,34.24
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,34.78,34.45
bfs_28,35.84,34.74
bfs_28,35.84,34.80
bfs_28,35.84,34.81
bfs_28,35.84,34.81
bfs_28,35.81,34.59
bfs_28,35.84,34.65
bfs_28,35.84,34.65
bfs_28,34.78,33.78
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,34.78,34.25
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,34.78,33.67
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,34.78,33.99
bfs_28,35.84,34.64
bfs_28,35.84,34.64
bfs_28,35.84,34.67
bfs_28,34.78,34.40
bfs_28,35.84,34.74
bfs_28,35.84,34.76
bfs_28,35.84,34.76
bfs_28,34.78,34.16
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.66
bfs_28,35.84,34.68
bfs_28,35.84,34.68
bfs_28,34.78,34.37
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,34.78,34.24
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.63
bfs_28,35.84,34.64
bfs_28,35.84,34.64
bfs_28,35.84,34.64
bfs_28,34.78,33.94
bfs_28,35.84,34.72
bfs_28,35.84,34.78
bfs_28,35.84,34.81
bfs_28,35.84,34.81
bfs_28,34.78,34.00
bfs_28,35.84,34.72
bfs_28,35.84,34.75
bfs_28,35.84,34.75
bfs_28,34.78,34.34
bfs_28,35.84,34.63
bfs_28,35.84,34.63
