APP,VSZ(GB),RSS(GB)
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.08
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
cc_24,2.16,2.13
