APP,VSZ(GB),RSS(GB)
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.16,2.10
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
pr_24_spmv,2.22,2.19
