APP,VSZ(GB),RSS(GB)
sssp_28,66.15,65.71
sssp_28,97.98,66.30
sssp_28,98.23,66.43
sssp_28,98.26,66.53
sssp_28,98.37,66.61
sssp_28,98.50,66.63
sssp_28,98.52,66.67
sssp_28,98.55,66.72
sssp_28,98.57,66.76
sssp_28,98.58,66.80
sssp_28,98.60,66.84
sssp_28,98.80,66.88
sssp_28,98.82,66.91
sssp_28,98.83,66.94
sssp_28,98.84,66.97
sssp_28,98.86,67.00
sssp_28,98.86,67.02
sssp_28,98.87,67.05
sssp_28,98.88,67.07
sssp_28,99.07,67.09
sssp_28,99.07,67.12
sssp_28,99.08,67.15
sssp_28,99.09,67.17
sssp_28,99.10,67.19
sssp_28,99.11,67.21
sssp_28,99.11,67.22
sssp_28,99.12,67.23
sssp_28,99.12,67.25
sssp_28,99.14,67.26
sssp_28,99.14,67.27
sssp_28,99.15,67.29
sssp_28,99.15,67.30
sssp_28,99.21,67.31
sssp_28,99.22,67.33
sssp_28,99.30,67.34
sssp_28,99.36,67.35
sssp_28,99.36,67.36
sssp_28,99.37,67.37
sssp_28,99.37,67.38
sssp_28,99.37,67.39
sssp_28,99.38,67.40
sssp_28,99.39,67.41
sssp_28,99.39,67.42
sssp_28,99.39,67.42
sssp_28,99.39,67.43
sssp_28,99.40,67.44
sssp_28,99.40,67.45
sssp_28,99.40,67.45
sssp_28,99.41,67.46
sssp_28,99.42,67.46
sssp_28,99.42,67.47
sssp_28,99.42,67.47
sssp_28,99.42,67.48
sssp_28,99.42,67.48
sssp_28,99.42,67.48
sssp_28,99.42,67.48
sssp_28,99.43,67.49
sssp_28,99.43,67.49
sssp_28,99.43,67.49
sssp_28,99.43,67.49
sssp_28,99.43,67.49
sssp_28,99.43,67.49
sssp_28,98.45,66.76
sssp_28,98.41,66.73
sssp_28,98.44,66.77
sssp_28,98.46,66.81
sssp_28,98.55,66.85
sssp_28,98.57,66.89
sssp_28,98.65,66.92
sssp_28,98.73,66.96
sssp_28,98.74,66.99
sssp_28,98.75,67.02
sssp_28,98.76,67.05
sssp_28,98.84,67.07
sssp_28,98.91,67.11
sssp_28,98.92,67.13
sssp_28,98.92,67.15
sssp_28,98.93,67.16
sssp_28,98.93,67.18
sssp_28,98.95,67.20
sssp_28,98.95,67.22
sssp_28,98.96,67.23
sssp_28,99.02,67.25
sssp_28,99.16,67.27
sssp_28,99.16,67.29
sssp_28,99.17,67.30
sssp_28,99.17,67.32
sssp_28,99.18,67.34
sssp_28,99.18,67.36
sssp_28,99.19,67.37
sssp_28,99.19,67.39
sssp_28,99.20,67.40
sssp_28,99.27,67.42
sssp_28,99.27,67.44
sssp_28,99.34,67.46
sssp_28,99.34,67.46
sssp_28,99.41,67.47
sssp_28,99.41,67.48
sssp_28,99.42,67.50
sssp_28,99.42,67.51
sssp_28,99.42,67.52
sssp_28,99.42,67.53
sssp_28,99.42,67.54
sssp_28,99.43,67.55
sssp_28,99.44,67.56
sssp_28,99.44,67.57
sssp_28,99.44,67.58
sssp_28,99.44,67.58
sssp_28,99.44,67.59
sssp_28,99.45,67.59
sssp_28,99.45,67.60
sssp_28,99.45,67.60
sssp_28,99.45,67.61
sssp_28,99.45,67.61
sssp_28,99.45,67.61
sssp_28,99.45,67.61
sssp_28,99.45,67.61
sssp_28,99.45,67.61
sssp_28,99.45,67.61
sssp_28,99.45,67.61
sssp_28,98.58,66.88
sssp_28,98.61,66.90
sssp_28,98.64,66.93
sssp_28,98.67,66.98
sssp_28,98.69,67.01
sssp_28,98.70,67.04
sssp_28,98.78,67.07
sssp_28,98.79,67.09
sssp_28,98.81,67.11
sssp_28,98.82,67.13
sssp_28,98.83,67.15
sssp_28,98.90,67.17
sssp_28,98.97,67.19
sssp_28,98.99,67.23
sssp_28,98.99,67.24
sssp_28,99.00,67.26
sssp_28,99.01,67.28
sssp_28,99.08,67.30
sssp_28,99.15,67.31
sssp_28,99.15,67.33
sssp_28,99.16,67.36
sssp_28,99.17,67.38
sssp_28,99.17,67.39
sssp_28,99.18,67.40
sssp_28,99.18,67.41
sssp_28,99.19,67.43
sssp_28,99.26,67.44
sssp_28,99.26,67.45
sssp_28,99.26,67.46
sssp_28,99.26,67.47
sssp_28,99.40,67.49
sssp_28,99.40,67.50
sssp_28,99.41,67.51
sssp_28,99.41,67.52
sssp_28,99.41,67.53
sssp_28,99.41,67.54
sssp_28,99.42,67.56
sssp_28,99.43,67.57
sssp_28,99.43,67.57
sssp_28,99.43,67.58
sssp_28,99.43,67.59
sssp_28,99.43,67.60
sssp_28,99.43,67.60
sssp_28,99.44,67.61
sssp_28,99.44,67.61
sssp_28,99.44,67.62
sssp_28,99.44,67.62
sssp_28,99.44,67.62
sssp_28,99.44,67.62
sssp_28,99.44,67.62
sssp_28,99.44,67.63
sssp_28,99.44,67.63
sssp_28,99.44,67.63
sssp_28,99.44,67.63
sssp_28,67.01,66.73
sssp_28,98.46,66.80
sssp_28,98.50,66.83
sssp_28,98.53,66.85
sssp_28,98.55,66.89
sssp_28,98.57,66.92
sssp_28,98.66,66.95
sssp_28,98.67,66.98
sssp_28,98.69,67.00
sssp_28,98.70,67.04
sssp_28,98.77,67.06
sssp_28,98.90,67.08
sssp_28,98.91,67.10
sssp_28,98.91,67.12
sssp_28,98.92,67.14
sssp_28,98.93,67.18
sssp_28,98.94,67.20
sssp_28,98.95,67.21
sssp_28,99.08,67.24
sssp_28,99.15,67.26
sssp_28,99.15,67.28
sssp_28,99.16,67.30
sssp_28,99.17,67.32
sssp_28,99.18,67.34
sssp_28,99.18,67.36
sssp_28,99.19,67.38
sssp_28,99.25,67.39
sssp_28,99.33,67.43
sssp_28,99.33,67.43
sssp_28,99.33,67.44
sssp_28,99.40,67.46
sssp_28,99.40,67.47
sssp_28,99.41,67.49
sssp_28,99.41,67.50
sssp_28,99.41,67.51
sssp_28,99.42,67.52
sssp_28,99.42,67.53
sssp_28,99.43,67.54
sssp_28,99.43,67.55
sssp_28,99.43,67.56
sssp_28,99.43,67.56
sssp_28,99.43,67.57
sssp_28,99.43,67.58
sssp_28,99.43,67.58
sssp_28,99.43,67.58
sssp_28,99.44,67.58
sssp_28,99.50,67.59
sssp_28,99.50,67.59
sssp_28,99.50,67.59
sssp_28,99.50,67.59
sssp_28,99.50,67.59
sssp_28,99.50,67.59
sssp_28,99.50,67.59
sssp_28,67.16,66.75
sssp_28,98.51,66.83
sssp_28,98.55,66.87
sssp_28,98.58,66.90
sssp_28,98.60,66.94
sssp_28,98.63,66.98
sssp_28,98.71,67.01
sssp_28,98.73,67.05
sssp_28,98.74,67.07
sssp_28,98.75,67.09
sssp_28,98.82,67.10
sssp_28,98.89,67.12
sssp_28,98.90,67.14
sssp_28,98.91,67.16
sssp_28,98.92,67.19
sssp_28,98.93,67.21
sssp_28,98.94,67.22
sssp_28,98.94,67.24
sssp_28,99.14,67.27
sssp_28,99.14,67.28
sssp_28,99.15,67.30
sssp_28,99.16,67.32
sssp_28,99.16,67.35
sssp_28,99.17,67.36
sssp_28,99.18,67.38
sssp_28,99.18,67.39
sssp_28,99.32,67.43
sssp_28,99.38,67.44
sssp_28,99.38,67.45
sssp_28,99.39,67.46
sssp_28,99.39,67.47
sssp_28,99.41,67.50
sssp_28,99.41,67.51
sssp_28,99.41,67.52
sssp_28,99.41,67.52
sssp_28,99.41,67.53
sssp_28,99.41,67.54
sssp_28,99.42,67.56
sssp_28,99.42,67.56
sssp_28,99.43,67.57
sssp_28,99.43,67.58
sssp_28,99.43,67.58
sssp_28,99.43,67.58
sssp_28,99.43,67.59
sssp_28,99.43,67.59
sssp_28,99.43,67.59
sssp_28,99.43,67.60
sssp_28,99.43,67.60
sssp_28,99.43,67.60
sssp_28,99.43,67.60
sssp_28,99.43,67.60
sssp_28,99.43,67.60
sssp_28,99.43,67.60
sssp_28,98.75,67.07
sssp_28,98.80,67.12
sssp_28,98.83,67.16
sssp_28,98.85,67.19
sssp_28,98.87,67.22
sssp_28,98.90,67.24
sssp_28,98.92,67.26
sssp_28,98.93,67.27
sssp_28,98.94,67.29
sssp_28,99.02,67.31
sssp_28,99.03,67.33
sssp_28,99.04,67.35
sssp_28,99.04,67.36
sssp_28,99.05,67.37
sssp_28,99.06,67.39
sssp_28,99.07,67.40
sssp_28,99.07,67.41
sssp_28,99.14,67.42
sssp_28,99.15,67.43
sssp_28,99.16,67.44
sssp_28,99.16,67.45
sssp_28,99.17,67.46
sssp_28,99.18,67.47
sssp_28,99.18,67.48
sssp_28,99.18,67.48
sssp_28,99.25,67.50
sssp_28,99.32,67.51
sssp_28,99.32,67.53
sssp_28,99.33,67.54
sssp_28,99.33,67.54
sssp_28,99.40,67.55
sssp_28,99.40,67.57
sssp_28,99.41,67.58
sssp_28,99.41,67.59
sssp_28,99.41,67.59
sssp_28,99.41,67.60
sssp_28,99.42,67.61
sssp_28,99.43,67.63
sssp_28,99.43,67.63
sssp_28,99.43,67.63
sssp_28,99.43,67.64
sssp_28,99.43,67.64
sssp_28,99.43,67.64
sssp_28,99.43,67.64
sssp_28,99.43,67.65
sssp_28,99.43,67.65
sssp_28,99.43,67.65
sssp_28,99.43,67.65
sssp_28,99.43,67.65
sssp_28,99.43,67.65
sssp_28,99.43,67.65
sssp_28,98.79,67.18
sssp_28,98.77,67.15
sssp_28,98.81,67.19
sssp_28,98.84,67.21
sssp_28,98.86,67.23
sssp_28,98.89,67.25
sssp_28,98.91,67.27
sssp_28,98.92,67.28
sssp_28,98.94,67.29
sssp_28,98.95,67.31
sssp_28,99.02,67.32
sssp_28,99.03,67.35
sssp_28,99.04,67.36
sssp_28,99.05,67.37
sssp_28,99.05,67.38
sssp_28,99.06,67.39
sssp_28,99.07,67.40
sssp_28,99.14,67.41
sssp_28,99.14,67.42
sssp_28,99.16,67.44
sssp_28,99.16,67.45
sssp_28,99.17,67.46
sssp_28,99.18,67.47
sssp_28,99.18,67.48
sssp_28,99.19,67.48
sssp_28,99.19,67.49
sssp_28,99.33,67.51
sssp_28,99.33,67.52
sssp_28,99.33,67.53
sssp_28,99.40,67.54
sssp_28,99.40,67.56
sssp_28,99.40,67.57
sssp_28,99.41,67.58
sssp_28,99.42,67.59
sssp_28,99.42,67.60
sssp_28,99.42,67.61
sssp_28,99.42,67.62
sssp_28,99.43,67.63
sssp_28,99.43,67.64
sssp_28,99.43,67.64
sssp_28,99.44,67.64
sssp_28,99.44,67.65
sssp_28,99.44,67.65
sssp_28,99.44,67.66
sssp_28,99.50,67.66
sssp_28,99.50,67.66
sssp_28,99.51,67.66
sssp_28,99.51,67.66
sssp_28,99.51,67.66
sssp_28,99.51,67.66
sssp_28,99.51,67.66
sssp_28,99.51,67.66
sssp_28,98.88,67.23
sssp_28,98.92,67.28
sssp_28,98.96,67.32
sssp_28,98.98,67.34
sssp_28,99.01,67.36
sssp_28,99.03,67.39
sssp_28,99.05,67.40
sssp_28,99.06,67.42
sssp_28,99.07,67.43
sssp_28,99.08,67.43
sssp_28,99.09,67.44
sssp_28,99.10,67.45
sssp_28,99.11,67.46
sssp_28,99.12,67.47
sssp_28,99.13,67.47
sssp_28,99.14,67.48
sssp_28,99.15,67.49
sssp_28,99.15,67.49
sssp_28,99.16,67.50
sssp_28,99.16,67.51
sssp_28,99.17,67.51
sssp_28,99.18,67.52
sssp_28,99.18,67.52
sssp_28,99.19,67.54
sssp_28,99.20,67.55
sssp_28,99.26,67.55
sssp_28,99.26,67.56
sssp_28,99.39,67.57
sssp_28,99.39,67.58
sssp_28,99.41,67.60
sssp_28,99.41,67.60
sssp_28,99.41,67.61
sssp_28,99.41,67.61
sssp_28,99.42,67.63
sssp_28,99.43,67.63
sssp_28,99.43,67.64
sssp_28,99.43,67.65
sssp_28,99.43,67.65
sssp_28,99.43,67.66
sssp_28,99.43,67.66
sssp_28,99.43,67.67
sssp_28,99.43,67.67
sssp_28,99.44,67.67
sssp_28,99.44,67.68
sssp_28,99.44,67.68
sssp_28,99.44,67.68
sssp_28,99.44,67.68
sssp_28,99.44,67.68
sssp_28,99.44,67.68
sssp_28,99.44,67.68
sssp_28,99.44,67.68
sssp_28,98.87,67.25
sssp_28,98.92,67.29
sssp_28,98.95,67.32
sssp_28,98.98,67.35
sssp_28,99.01,67.37
sssp_28,99.02,67.38
sssp_28,99.03,67.39
sssp_28,99.05,67.41
sssp_28,99.06,67.42
sssp_28,99.08,67.43
sssp_28,99.08,67.44
sssp_28,99.09,67.44
sssp_28,99.11,67.46
sssp_28,99.11,67.46
sssp_28,99.12,67.47
sssp_28,99.13,67.48
sssp_28,99.14,67.49
sssp_28,99.15,67.49
sssp_28,99.16,67.50
sssp_28,99.17,67.51
sssp_28,99.17,67.53
sssp_28,99.17,67.53
sssp_28,99.18,67.54
sssp_28,99.18,67.54
sssp_28,99.19,67.55
sssp_28,99.19,67.55
sssp_28,99.32,67.56
sssp_28,99.39,67.57
sssp_28,99.40,67.59
sssp_28,99.40,67.59
sssp_28,99.40,67.60
sssp_28,99.41,67.61
sssp_28,99.41,67.62
sssp_28,99.42,67.63
sssp_28,99.42,67.65
sssp_28,99.42,67.65
sssp_28,99.43,67.66
sssp_28,99.43,67.66
sssp_28,99.43,67.67
sssp_28,99.43,67.68
sssp_28,99.43,67.68
sssp_28,99.43,67.68
sssp_28,99.43,67.69
sssp_28,99.44,67.69
sssp_28,99.44,67.69
sssp_28,99.44,67.69
sssp_28,99.50,67.69
sssp_28,99.50,67.69
sssp_28,99.50,67.69
sssp_28,99.50,67.69
sssp_28,99.50,67.69
sssp_28,98.88,67.26
sssp_28,98.93,67.30
sssp_28,98.96,67.33
sssp_28,98.98,67.35
sssp_28,99.01,67.37
