APP,VSZ(GB),RSS(GB)
tc_24,2.53,2.23
tc_24,4.84,2.75
tc_24,4.84,2.98
tc_24,4.84,3.21
tc_24,4.84,3.41
tc_24,4.84,3.49
tc_24,4.84,3.68
tc_24,4.84,3.91
tc_24,4.84,4.13
tc_24,4.84,4.36
tc_24,4.84,4.59
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.22,2.86
tc_24,4.84,2.71
tc_24,4.84,2.95
tc_24,4.84,3.18
tc_24,4.84,3.41
tc_24,4.84,3.64
tc_24,4.84,3.87
tc_24,4.84,4.10
tc_24,4.84,4.32
tc_24,4.84,4.55
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,2.78,2.57
tc_24,4.84,2.79
tc_24,4.84,3.02
tc_24,4.84,3.25
tc_24,4.84,3.48
tc_24,4.84,3.71
tc_24,4.84,3.94
tc_24,4.84,4.17
tc_24,4.84,4.40
tc_24,4.84,4.62
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,2.78,2.57
tc_24,4.84,2.87
tc_24,4.84,3.11
tc_24,4.84,3.34
tc_24,4.84,3.57
tc_24,4.84,3.80
tc_24,4.84,4.02
tc_24,4.84,4.25
tc_24,4.84,4.47
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
tc_24,4.34,4.13
