timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,20.827,0.491
1,20.827,41.653,0.480
2,41.653,62.480,0.449
3,62.480,83.306,0.378
4,83.306,104.133,0.271
5,104.133,124.959,0.281
6,124.959,145.786,0.301
7,145.786,166.613,0.301
8,166.613,187.439,0.280
9,187.439,208.266,0.285
10,208.266,229.092,0.260
11,229.092,249.919,0.274
12,249.919,270.745,0.265
13,270.745,291.572,0.278
14,291.572,312.398,0.264
15,312.398,333.225,0.271
16,333.225,354.052,0.265
17,354.052,374.878,0.299
18,374.878,395.705,0.281
19,395.705,416.531,0.270
20,416.531,437.358,0.272
21,437.358,458.184,0.265
22,458.184,479.011,0.268
23,479.011,499.838,0.255
24,499.838,520.664,0.284
25,520.664,541.491,0.286
26,541.491,562.317,0.286
27,562.317,583.144,0.279
28,583.144,603.970,0.271
29,603.970,624.797,0.269
