timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,2.818,8.741
1,2.818,5.636,8.601
2,5.636,8.454,8.687
3,8.454,11.273,8.673
4,11.273,14.091,8.531
5,14.091,16.909,8.372
6,16.909,19.727,8.582
7,19.727,22.545,8.552
8,22.545,25.363,8.364
9,25.363,28.181,8.211
10,28.181,31.000,8.354
11,31.000,33.818,8.144
12,33.818,36.636,8.179
13,36.636,39.454,8.655
14,39.454,42.272,8.493
15,42.272,45.090,8.243
16,45.090,47.908,8.466
17,47.908,50.727,8.444
18,50.727,53.545,8.252
19,53.545,56.363,8.081
20,56.363,59.181,8.425
21,59.181,61.999,8.358
22,61.999,64.817,8.050
23,64.817,67.635,8.127
24,67.635,70.454,8.414
25,70.454,73.272,8.132
26,73.272,76.090,7.130
27,76.090,78.908,5.051
28,78.908,81.726,3.281
29,81.726,84.544,0.255
