timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,0.500,8.938
1,0.500,1.000,9.024
2,1.000,1.501,9.089
3,1.501,2.001,9.006
4,2.001,2.501,9.967
5,2.501,3.001,9.595
6,3.001,3.501,9.596
7,3.501,4.002,9.842
8,4.002,4.502,9.246
9,4.502,5.002,9.035
10,5.002,5.502,9.159
11,5.502,6.002,9.010
12,6.002,6.503,8.939
13,6.503,7.003,9.007
14,7.003,7.503,9.341
15,7.503,8.003,9.561
16,8.003,8.503,8.987
17,8.503,9.004,8.984
18,9.004,9.504,10.100
19,9.504,10.004,9.574
20,10.004,10.504,9.607
21,10.504,11.004,9.720
22,11.004,11.504,9.342
23,11.504,12.005,8.979
24,12.005,12.505,8.981
25,12.505,13.005,8.990
26,13.005,13.505,9.115
27,13.505,14.005,8.979
28,14.005,14.506,9.008
29,14.506,15.006,3.402
