timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,0.267,1.487
1,0.267,0.534,1.493
2,0.534,0.800,4.260
3,0.800,1.067,8.977
4,1.067,1.334,9.580
5,1.334,1.601,9.685
6,1.601,1.868,9.325
7,1.868,2.134,8.990
8,2.134,2.401,10.294
9,2.401,2.668,9.622
10,2.668,2.935,9.493
11,2.935,3.202,9.804
12,3.202,3.468,9.610
13,3.468,3.735,9.491
14,3.735,4.002,9.511
15,4.002,4.269,9.723
16,4.269,4.535,9.511
17,4.535,4.802,9.061
18,4.802,5.069,8.894
19,5.069,5.336,9.184
20,5.336,5.603,8.914
21,5.603,5.869,8.917
22,5.869,6.136,8.954
23,6.136,6.403,9.140
24,6.403,6.670,8.989
25,6.670,6.937,8.964
26,6.937,7.203,8.883
27,7.203,7.470,2.581
28,7.470,7.737,0.285
29,7.737,8.004,0.007
