app,footprint(GB),bandwidth(GB),time(s)
bc_24,2.41,8.258,418
bc_26,9.71,9.784,1932
bc_28,39.0,10.997,9605
bfs_24,2.15,7.962,26
bfs_26,8.66,8.472,101
bfs_28,34.82,8.803,438
cc_24,2.13,5.217,46
cc_26,8.59,4.555,210
cc_28,34.57,4.264,919
cc_sv_24,2.13,6.073,392
cc_sv_26,8.59,9.053,3600
cc_sv_28,34.56,9.477,16004
pr_24,2.19,7.084,520
pr_26,8.84,10.616,3055
pr_28,35.56,10.673,17535
pr_spmv_24,2.19,7.505,721
pr_spmv_26,8.84,10.469,4301
pr_spmv_28,35.56,10.057,20458
sssp_24,4.18,6.797,233
sssp_26,16.83,8.479,1183
sssp_28,67.75,9.079,5160
tc_24,4.63,7.234,20879
tc_26,18.68,7.161,122809
XSBench_5,5.51,8.648,55
XSBench_116,116.56,8.741,78
spec_600,0.2,0.357,421
spec_605,3.87,4.299,921
spec_620,0.24,1.009,375
spec_623,0.47,0.689,333
spec_625,0.15,0.491,519
spec_631,6.72,0.787,505
spec_641,0.03,0.206,688
spec_648,0.0,0.146,395
spec_657,15.01,0.486,1089
spec_603,11.2,0.765,992
spec_607,6.57,0.181,809
spec_619,3.15,0.768,885
spec_621,0.18,1.016,1252
spec_628,1.41,0.326,941
spec_638,6.87,0.19,2077
spec_644,0.55,0.097,1005
spec_649,9.42,18.85,541
