timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,2.451,4.758
1,2.451,4.903,4.682
2,4.903,7.354,5.418
3,7.354,9.805,5.264
4,9.805,12.256,4.420
5,12.256,14.708,5.071
6,14.708,17.159,5.422
7,17.159,19.610,5.001
8,19.610,22.061,4.627
9,22.061,24.513,4.956
10,24.513,26.964,5.111
11,26.964,29.415,4.575
12,29.415,31.867,4.777
13,31.867,34.318,4.895
14,34.318,36.769,5.100
15,36.769,39.220,4.643
16,39.220,41.672,4.792
17,41.672,44.123,5.199
18,44.123,46.574,5.482
19,46.574,49.026,4.694
20,49.026,51.477,4.300
21,51.477,53.928,5.639
22,53.928,56.379,5.350
23,56.379,58.831,4.160
24,58.831,61.282,4.555
25,61.282,63.733,5.352
26,63.733,66.184,4.893
27,66.184,68.636,4.302
28,68.636,71.087,4.483
29,71.087,73.538,4.589
