timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,0.450,4.640
1,0.450,0.900,3.268
2,0.900,1.350,3.459
3,1.350,1.801,3.308
4,1.801,2.251,4.800
5,2.251,2.701,3.124
6,2.701,3.151,3.243
7,3.151,3.601,3.389
8,3.601,4.051,3.633
9,4.051,4.502,3.222
10,4.502,4.952,3.181
11,4.952,5.402,3.999
12,5.402,5.852,4.882
13,5.852,6.302,4.781
14,6.302,6.752,4.149
15,6.752,7.203,4.700
16,7.203,7.653,3.721
17,7.653,8.103,3.429
18,8.103,8.553,3.512
19,8.553,9.003,3.436
20,9.003,9.453,3.460
21,9.453,9.904,3.910
22,9.904,10.354,3.185
23,10.354,10.804,3.959
24,10.804,11.254,3.791
25,11.254,11.704,3.173
26,11.704,12.154,3.673
27,12.154,12.605,5.999
28,12.605,13.055,5.425
29,13.055,13.505,3.937
