timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,0.283,10.746
1,0.283,0.567,10.277
2,0.567,0.850,10.370
3,0.850,1.134,11.125
4,1.134,1.417,10.016
5,1.417,1.701,10.254
6,1.701,1.984,11.112
7,1.984,2.268,10.455
8,2.268,2.551,10.603
9,2.551,2.835,10.133
10,2.835,3.118,10.805
11,3.118,3.402,10.562
12,3.402,3.685,10.517
13,3.685,3.969,9.802
14,3.969,4.252,9.997
15,4.252,4.536,10.402
16,4.536,4.819,11.271
17,4.819,5.103,10.489
18,5.103,5.386,10.400
19,5.386,5.670,9.817
20,5.670,5.953,10.103
21,5.953,6.237,10.905
22,6.237,6.520,10.016
23,6.520,6.804,11.173
24,6.804,7.087,9.559
25,7.087,7.371,9.932
26,7.371,7.654,10.335
27,7.654,7.938,6.796
28,7.938,8.221,0.392
29,8.221,8.505,0.016
