timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,1.267,4.475
1,1.267,2.535,4.696
2,2.535,3.802,4.947
3,3.802,5.069,5.217
4,5.069,6.337,5.031
5,6.337,7.604,4.719
6,7.604,8.871,4.563
7,8.871,10.139,4.495
8,10.139,11.406,4.405
9,11.406,12.673,4.771
10,12.673,13.941,4.871
11,13.941,15.208,5.087
12,15.208,16.475,5.128
13,16.475,17.743,4.586
14,17.743,19.010,4.512
15,19.010,20.277,4.465
16,20.277,21.545,4.465
17,21.545,22.812,4.976
18,22.812,24.079,4.865
19,24.079,25.347,4.997
20,25.347,26.614,5.214
21,26.614,27.881,4.586
22,27.881,29.149,4.504
23,29.149,30.416,4.550
24,30.416,31.683,4.443
25,31.683,32.951,4.996
26,32.951,34.218,4.948
27,34.218,35.485,4.924
28,35.485,36.753,5.086
29,36.753,38.020,3.371
