timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,38.472,8.911
1,38.472,76.944,8.678
2,76.944,115.416,8.595
3,115.416,153.887,8.571
4,153.887,192.359,8.882
5,192.359,230.831,8.632
6,230.831,269.303,8.704
7,269.303,307.775,8.654
8,307.775,346.247,8.580
9,346.247,384.718,8.684
10,384.718,423.190,8.615
11,423.190,461.662,8.892
12,461.662,500.134,8.521
13,500.134,538.606,8.808
14,538.606,577.078,8.955
15,577.078,615.549,8.874
16,615.549,654.021,8.973
17,654.021,692.493,8.932
18,692.493,730.965,8.893
19,730.965,769.437,9.053
20,769.437,807.909,8.931
21,807.909,846.380,8.950
22,846.380,884.852,8.928
23,884.852,923.324,8.878
24,923.324,961.796,8.858
25,961.796,1000.268,8.965
26,1000.268,1038.740,8.950
27,1038.740,1077.211,8.910
28,1077.211,1115.683,8.899
29,1115.683,1154.155,8.956
