timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,1.000,0.921
1,1.000,2.000,1.022
2,2.000,3.001,0.573
3,3.001,4.001,0.603
4,4.001,5.001,0.599
5,5.001,6.001,0.632
6,6.001,7.001,0.571
7,7.001,8.001,1.273
8,8.001,9.002,0.855
9,9.002,10.002,0.978
10,10.002,11.002,0.778
11,11.002,12.002,0.596
12,12.002,13.002,0.577
13,13.002,14.003,0.884
14,14.003,15.003,1.164
15,15.003,16.003,0.838
16,16.003,17.003,0.660
17,17.003,18.003,0.602
18,18.003,19.003,0.581
19,19.003,20.004,0.621
20,20.004,21.004,1.089
21,21.004,22.004,1.340
22,22.004,23.004,0.810
23,23.004,24.004,0.619
24,24.004,25.005,0.590
25,25.005,26.005,0.702
26,26.005,27.005,0.576
27,27.005,28.005,1.122
28,28.005,29.005,0.849
29,29.005,30.005,0.559
30,30.005,31.006,0.653
31,31.006,32.006,0.806
32,32.006,33.006,0.786
33,33.006,34.006,1.177
34,34.006,35.006,0.892
35,35.006,36.007,0.713
36,36.007,37.007,0.585
37,37.007,38.007,0.596
38,38.007,39.007,0.577
39,39.007,40.007,0.642
40,40.007,41.008,1.383
41,41.008,42.008,0.654
42,42.008,43.008,0.850
43,43.008,44.008,1.013
44,44.008,45.008,0.735
45,45.008,46.008,0.650
46,46.008,47.009,0.627
47,47.009,48.009,0.572
48,48.009,49.009,0.571
49,49.009,50.009,1.035
50,50.009,51.009,1.162
51,51.009,52.010,0.708
52,52.010,53.010,0.642
53,53.010,54.010,0.660
54,54.010,55.010,0.923
55,55.010,56.010,0.711
56,56.010,57.010,1.241
57,57.010,58.011,0.859
58,58.011,59.011,0.713
59,59.011,60.011,0.578
60,60.011,61.011,0.687
61,61.011,62.011,0.640
62,62.011,63.012,1.036
63,63.012,64.012,0.983
64,64.012,65.012,0.776
65,65.012,66.012,1.054
66,66.012,67.012,0.586
67,67.012,68.012,0.669
68,68.012,69.013,0.600
69,69.013,70.013,1.375
70,70.013,71.013,0.893
71,71.013,72.013,0.585
72,72.013,73.013,0.573
73,73.013,74.014,0.638
74,74.014,75.014,0.599
75,75.014,76.014,1.486
76,76.014,77.014,1.061
77,77.014,78.014,0.740
78,78.014,79.014,0.660
79,79.014,80.015,0.616
80,80.015,81.015,0.691
81,81.015,82.015,0.585
82,82.015,83.015,0.595
83,83.015,84.015,1.343
84,84.015,85.016,0.816
85,85.016,86.016,0.764
86,86.016,87.016,0.566
87,87.016,88.016,0.995
88,88.016,89.016,0.689
89,89.016,90.016,1.225
90,90.016,91.017,1.032
91,91.017,92.017,0.620
92,92.017,93.017,0.563
93,93.017,94.017,0.563
94,94.017,95.017,1.775
95,95.017,96.018,1.415
96,96.018,97.018,2.231
97,97.018,98.018,1.747
98,98.018,99.018,2.294
99,99.018,100.018,1.579
100,100.018,101.018,1.605
101,101.018,102.019,1.511
102,102.019,103.019,2.379
103,103.019,104.019,1.860
104,104.019,105.019,1.532
105,105.019,106.019,1.530
106,106.019,107.020,1.521
107,107.020,108.020,1.528
108,108.020,109.020,2.353
109,109.020,110.020,2.412
110,110.020,111.020,1.511
111,111.020,112.020,1.502
112,112.020,113.021,1.547
113,113.021,114.021,1.353
114,114.021,115.021,1.692
115,115.021,116.021,1.935
116,116.021,117.021,1.671
117,117.021,118.022,1.507
118,118.022,119.022,1.547
119,119.022,120.022,12.819
120,120.022,121.022,17.037
121,121.022,122.022,17.642
122,122.022,123.023,17.397
123,123.023,124.023,17.355
124,124.023,125.023,17.236
125,125.023,126.023,17.215
126,126.023,127.023,17.160
127,127.023,128.023,17.175
128,128.023,129.024,17.234
129,129.024,130.024,17.879
130,130.024,131.024,17.619
131,131.024,132.024,17.648
132,132.024,133.024,17.510
133,133.024,134.025,17.498
134,134.025,135.025,17.239
135,135.025,136.025,17.265
136,136.025,137.025,17.298
137,137.025,138.025,17.161
138,138.025,139.025,17.742
139,139.025,140.026,18.021
140,140.026,141.026,17.735
141,141.026,142.026,17.928
142,142.026,143.026,17.891
143,143.026,144.026,17.493
144,144.026,145.027,17.246
145,145.027,146.027,13.486
146,146.027,147.027,18.621
147,147.027,148.027,31.774
148,148.027,149.027,17.428
149,149.027,150.027,31.416
150,150.027,151.028,31.407
151,151.028,152.028,31.397
152,152.028,153.028,31.429
153,153.028,154.028,31.559
154,154.028,155.028,31.118
155,155.028,156.029,31.394
156,156.029,157.029,31.649
157,157.029,158.029,31.166
158,158.029,159.029,30.830
