timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,3.422,1.588
1,3.422,6.845,0.941
2,6.845,10.267,1.061
3,10.267,13.690,1.036
4,13.690,17.112,0.535
5,17.112,20.535,1.180
6,20.535,23.957,0.625
7,23.957,27.379,0.492
8,27.379,30.802,0.970
9,30.802,34.224,0.423
10,34.224,37.647,12.074
11,37.647,41.069,18.500
12,41.069,44.492,27.397
13,44.492,47.914,30.125
14,47.914,51.336,31.218
15,51.336,54.759,31.905
16,54.759,58.181,32.205
17,58.181,61.604,32.196
18,61.604,65.026,31.450
19,65.026,68.449,32.265
20,68.449,71.871,31.640
21,71.871,75.293,32.006
22,75.293,78.716,31.556
23,78.716,82.138,31.877
24,82.138,85.561,31.569
25,85.561,88.983,31.670
26,88.983,92.406,31.989
27,92.406,95.828,31.824
28,95.828,99.251,28.201
29,99.251,102.673,2.147
