timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,4.931,1.772
1,4.931,9.862,0.788
2,9.862,14.792,0.886
3,14.792,19.723,0.744
4,19.723,24.654,0.731
5,24.654,29.585,0.812
6,29.585,34.516,0.424
7,34.516,39.447,15.293
8,39.447,44.377,15.253
9,44.377,49.308,17.584
10,49.308,54.239,17.910
11,54.239,59.170,17.988
12,59.170,64.101,18.009
13,64.101,69.032,18.121
14,69.032,73.962,18.196
15,73.962,78.893,18.319
16,78.893,83.824,18.079
17,83.824,88.755,18.022
18,88.755,93.686,18.135
19,93.686,98.617,18.149
20,98.617,103.547,18.169
21,103.547,108.478,18.123
22,108.478,113.409,18.120
23,113.409,118.340,18.226
24,118.340,123.271,18.203
25,123.271,128.202,18.135
26,128.202,133.132,18.167
27,133.132,138.063,18.065
28,138.063,142.994,18.145
29,142.994,147.925,4.428
