timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,4.569,1.290
1,4.569,9.139,1.103
2,9.139,13.708,0.851
3,13.708,18.278,0.964
4,18.278,22.847,0.619
5,22.847,27.417,0.958
6,27.417,31.986,0.411
7,31.986,36.556,12.271
8,36.556,41.125,20.035
9,41.125,45.695,19.455
10,45.695,50.264,23.367
11,50.264,54.834,19.370
12,54.834,59.403,19.104
13,59.403,63.973,19.335
14,63.973,68.542,19.271
15,68.542,73.112,19.097
16,73.112,77.681,19.416
17,77.681,82.251,19.210
18,82.251,86.820,19.438
19,86.820,91.390,19.028
20,91.390,95.959,19.394
21,95.959,100.529,19.191
22,100.529,105.098,19.262
23,105.098,109.668,19.087
24,109.668,114.237,19.324
25,114.237,118.807,19.406
26,118.807,123.376,19.271
27,123.376,127.946,19.210
28,127.946,132.515,19.228
29,132.515,137.084,5.934
