r:w,bandwidth(MB/s),latency(ns)
1:0,34958.7,334.19
1:0,34959.5,334.14
1:0,34946.1,334.50
1:0,34975.7,330.66
1:0,34942.5,299.44
1:0,33736.9,181.35
1:0,23362.1,117.40
1:0,16890.1,107.03
1:0,13230.6,102.84
1:0,10958.2,99.52
1:0,8197.2,94.96
1:0,6037.0,92.14
1:0,4852.0,89.94
1:0,3902.6,89.06
1:0,2915.3,86.95
1:0,2306.1,86.01
1:0,1847.4,85.11
1:0,1369.2,84.23
1:0,1041.4,83.54
1:1,25977.5,283.99
1:1,25986.4,284.10
1:1,25991.9,284.16
1:1,25967.2,283.36
1:1,26051.5,284.47
1:1,25900.9,282.39
1:1,25559.7,212.16
1:1,18034.6,121.31
1:1,13884.1,108.44
1:1,11327.4,103.95
1:1,8358.7,99.36
1:1,6089.5,97.26
1:1,4866.9,95.42
1:1,3909.0,92.58
1:1,2890.0,91.54
1:1,2304.9,87.18
1:1,1831.1,87.60
1:1,1371.4,84.33
1:1,1044.1,83.30
2:1,28435.1,525.41
2:1,28375.3,525.50
2:1,28387.3,526.59
2:1,28361.7,527.91
2:1,28255.9,518.06
2:1,28003.7,441.95
2:1,19661.6,128.21
2:1,13731.8,108.42
2:1,10598.3,102.84
2:1,8678.6,100.17
2:1,6446.3,97.66
2:1,4749.7,95.06
2:1,3837.7,92.99
2:1,3109.6,92.12
2:1,2377.3,87.62
2:1,1919.6,86.34
2:1,1574.2,85.43
2:1,1219.3,84.22
2:1,974.0,83.42
3:1,29717.8,470.06
3:1,29636.8,470.58
3:1,29652.6,470.56
3:1,29630.2,470.52
3:1,29618.7,472.67
3:1,29478.2,469.01
3:1,29380.6,464.62
3:1,29350.6,452.81
3:1,29164.6,434.65
3:1,29221.8,394.43
3:1,27673.5,200.18
3:1,21017.5,124.34
3:1,16696.3,110.75
3:1,13117.0,104.27
3:1,9247.6,99.53
3:1,6855.7,96.81
3:1,5040.9,93.26
3:1,3153.8,89.12
3:1,1851.4,85.26
3:2,27360.1,437.19
3:2,27332.8,434.27
3:2,27321.1,435.55
3:2,27426.7,447.75
3:2,27359.4,443.41
3:2,27216.1,424.19
3:2,27062.1,353.67
3:2,21542.7,147.50
3:2,16724.0,118.63
3:2,13683.8,109.88
3:2,10125.6,102.79
3:2,7372.7,98.88
3:2,5860.8,97.36
3:2,4659.6,96.67
3:2,3424.0,92.52
3:2,2656.3,91.59
3:2,2107.0,87.24
3:2,1514.5,85.35
3:2,1108.0,83.84
4:1,30451.7,436.20
4:1,30452.3,436.24
4:1,30429.6,436.11
4:1,30354.3,435.86
4:1,30178.0,398.34
4:1,27989.6,184.79
4:1,16392.7,113.73
4:1,11567.8,103.07
4:1,8936.8,100.49
4:1,7346.7,99.10
4:1,5500.9,94.74
4:1,4080.7,93.59
4:1,3333.9,90.05
4:1,2735.8,88.39
4:1,2109.8,86.71
4:1,1728.8,85.64
4:1,1442.1,84.90
4:1,1145.9,83.87
4:1,941.1,83.25
