r:w,bandwidth(MB/s),latency(ns)
1:0,34587.2,372.74
1:0,34921.3,375.57
1:0,34899.4,375.22
1:0,34942.8,372.04
1:0,34729.2,355.94
1:0,33517.2,247.35
1:0,23128.5,175.30
1:0,16693.6,162.00
1:0,13000.1,159.13
1:0,10732.3,157.90
1:0,7948.5,153.67
1:0,5769.9,150.51
1:0,4573.8,147.92
1:0,3619.9,146.99
1:0,2621.0,144.88
1:0,2006.1,144.33
1:0,1541.6,143.45
1:0,1055.7,143.44
1:0,725.0,142.32
1:1,26101.4,333.64
1:1,26111.1,334.73
1:1,26107.8,334.12
1:1,26142.9,333.70
1:1,26161.5,334.86
1:1,26038.9,332.66
1:1,25535.4,277.70
1:1,17878.4,177.16
1:1,13691.3,162.77
1:1,11122.0,157.47
1:1,8134.8,152.78
1:1,5866.5,148.26
1:1,4634.5,146.30
1:1,3657.4,145.70
1:1,2637.2,144.63
1:1,2014.8,144.12
1:1,1547.1,143.50
1:1,1059.1,143.29
1:1,724.0,142.77
2:1,28393.7,551.48
2:1,28376.8,553.11
2:1,28380.9,553.02
2:1,28188.0,550.12
2:1,28161.8,546.06
2:1,27925.1,496.03
2:1,19576.1,186.86
2:1,13545.9,161.42
2:1,10389.6,156.31
2:1,8464.9,151.61
2:1,6222.5,148.68
2:1,4514.2,146.33
2:1,3588.7,145.70
2:1,2856.2,144.93
2:1,2090.9,144.11
2:1,1621.6,144.37
2:1,1271.4,143.67
2:1,904.9,143.64
2:1,656.1,142.44
3:1,29600.0,494.25
3:1,29619.1,494.75
3:1,29661.0,494.39
3:1,29695.3,495.02
3:1,29529.3,497.43
3:1,29350.8,498.12
3:1,29373.2,493.16
3:1,29368.9,491.52
3:1,29256.5,476.83
3:1,29174.8,445.55
3:1,27621.3,269.92
3:1,20904.4,180.11
3:1,16530.6,164.62
3:1,12918.4,158.42
3:1,9032.4,151.56
3:1,6626.3,148.86
3:1,4799.5,145.56
3:1,2877.9,144.64
3:1,1546.9,143.46
3:2,27335.7,483.33
3:2,27371.7,489.31
3:2,27396.3,490.10
3:2,27370.3,492.79
3:2,27446.8,491.70
3:2,27260.5,481.36
3:2,26976.8,412.96
3:2,21441.4,211.01
3:2,16572.7,174.12
3:2,13517.9,163.57
3:2,9914.1,156.65
3:2,7154.2,149.85
3:2,5635.5,148.36
3:2,4436.9,145.89
3:2,3172.8,145.37
3:2,2399.5,144.81
3:2,1820.0,143.33
3:2,1210.5,143.60
3:2,791.4,143.27
4:1,30388.4,462.92
4:1,30355.2,461.99
4:1,30356.6,463.36
4:1,30236.2,465.54
4:1,30055.2,447.24
4:1,27926.9,254.84
4:1,16240.8,169.23
4:1,11367.9,156.63
4:1,8719.3,153.95
4:1,7129.3,150.48
4:1,5258.0,148.74
4:1,3836.0,146.14
4:1,3064.0,145.77
4:1,2451.1,145.87
4:1,1815.2,144.45
4:1,1424.7,144.51
4:1,1134.2,143.51
4:1,828.3,143.67
4:1,621.9,142.36
