timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,36.705,10.616
1,36.705,73.409,10.479
2,73.409,110.114,10.386
3,110.114,146.819,10.318
4,146.819,183.524,10.311
5,183.524,220.228,10.430
6,220.228,256.933,10.370
7,256.933,293.638,10.434
8,293.638,330.342,10.329
9,330.342,367.047,10.191
10,367.047,403.752,10.242
11,403.752,440.456,10.378
12,440.456,477.161,10.275
13,477.161,513.866,10.258
14,513.866,550.571,10.278
15,550.571,587.275,10.449
16,587.275,623.980,10.232
17,623.980,660.685,10.230
18,660.685,697.389,10.280
19,697.389,734.094,10.292
20,734.094,770.799,10.187
21,770.799,807.503,10.206
22,807.503,844.208,10.347
23,844.208,880.913,10.309
24,880.913,917.618,10.183
25,917.618,954.322,10.252
26,954.322,991.027,10.224
27,991.027,1027.732,10.263
28,1027.732,1064.436,10.250
29,1064.436,1101.141,10.289
