timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,1.000,0.670
1,1.000,2.000,0.961
2,2.000,3.000,1.151
3,3.000,4.000,0.724
4,4.000,5.000,0.718
5,5.000,6.000,0.807
6,6.000,7.000,0.651
7,7.000,8.000,0.641
8,8.000,9.000,0.600
9,9.000,10.000,0.738
10,10.000,11.001,0.961
11,11.001,12.001,1.304
12,12.001,13.001,1.073
13,13.001,14.001,0.767
14,14.001,15.001,0.725
15,15.001,16.001,0.681
16,16.001,17.001,0.597
17,17.001,18.001,0.731
18,18.001,19.001,1.178
19,19.001,20.001,0.763
20,20.001,21.001,0.655
21,21.001,22.001,0.721
22,22.001,23.001,0.753
23,23.001,24.001,0.958
24,24.001,25.001,0.903
25,25.001,26.001,0.592
26,26.001,27.001,0.628
27,27.001,28.001,0.638
28,28.001,29.001,1.235
29,29.001,30.001,0.776
30,30.001,31.001,0.850
31,31.001,32.001,0.637
32,32.001,33.002,0.638
33,33.002,34.002,0.661
34,34.002,35.002,1.031
35,35.002,36.002,0.732
36,36.002,37.002,1.274
37,37.002,38.002,0.912
38,38.002,39.002,0.632
39,39.002,40.002,0.704
40,40.002,41.002,0.642
41,41.002,42.002,0.616
42,42.002,43.002,1.124
43,43.002,44.002,1.016
44,44.002,45.002,0.661
45,45.002,46.002,0.952
46,46.002,47.002,0.670
47,47.002,48.002,0.628
48,48.002,49.002,0.796
49,49.002,50.002,1.252
50,50.002,51.002,0.661
51,51.002,52.002,0.661
52,52.002,53.002,0.652
53,53.002,54.003,0.713
54,54.003,55.003,0.669
55,55.003,56.003,1.329
56,56.003,57.003,1.068
57,57.003,58.003,0.796
58,58.003,59.003,0.782
59,59.003,60.003,0.818
60,60.003,61.003,0.695
61,61.003,62.003,0.633
62,62.003,63.003,0.620
63,63.003,64.003,0.741
64,64.003,65.003,0.665
65,65.003,66.003,1.379
66,66.003,67.003,0.884
67,67.003,68.003,1.049
68,68.003,69.003,0.863
69,69.003,70.003,0.668
70,70.003,71.003,0.695
71,71.003,72.003,1.264
72,72.003,73.003,0.937
73,73.003,74.003,0.710
74,74.003,75.003,0.622
75,75.003,76.004,0.664
76,76.004,77.004,0.644
77,77.004,78.004,0.627
78,78.004,79.004,1.531
79,79.004,80.004,1.065
80,80.004,81.004,0.695
81,81.004,82.004,0.694
82,82.004,83.004,0.926
83,83.004,84.004,0.686
84,84.004,85.004,0.685
85,85.004,86.004,0.615
86,86.004,87.004,0.469
87,87.004,88.004,1.795
88,88.004,89.004,2.147
89,89.004,90.004,1.914
90,90.004,91.004,2.250
91,91.004,92.004,1.568
92,92.004,93.004,1.584
93,93.004,94.004,1.639
94,94.004,95.004,2.155
95,95.004,96.004,1.885
96,96.004,97.005,1.511
97,97.005,98.005,1.793
98,98.005,99.005,1.529
99,99.005,100.005,1.567
100,100.005,101.005,2.012
101,101.005,102.005,2.808
102,102.005,103.005,1.710
103,103.005,104.005,1.499
104,104.005,105.005,1.495
105,105.005,106.005,1.535
106,106.005,107.005,1.468
107,107.005,108.005,2.096
108,108.005,109.005,1.553
109,109.005,110.005,1.481
110,110.005,111.005,1.483
111,111.005,112.005,2.253
112,112.005,113.005,9.073
113,113.005,114.005,17.175
114,114.005,115.005,17.399
115,115.005,116.005,17.477
116,116.005,117.005,17.429
117,117.005,118.006,16.802
118,118.006,119.006,16.743
119,119.006,120.006,16.736
120,120.006,121.006,16.804
121,121.006,122.006,17.231
122,122.006,123.006,17.288
123,123.006,124.006,17.240
124,124.006,125.006,17.075
125,125.006,126.006,17.205
126,126.006,127.006,16.939
127,127.006,128.006,16.979
128,128.006,129.006,16.953
129,129.006,130.006,16.965
130,130.006,131.006,16.984
