timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,32.399,9.685
1,32.399,64.798,9.210
2,64.798,97.197,10.057
3,97.197,129.595,9.864
4,129.595,161.994,9.782
5,161.994,194.393,9.842
6,194.393,226.792,9.301
7,226.792,259.191,9.865
8,259.191,291.590,9.579
9,291.590,323.988,9.580
10,323.988,356.387,9.915
11,356.387,388.786,9.569
12,388.786,421.185,9.926
13,421.185,453.584,9.813
14,453.584,485.983,9.686
15,485.983,518.381,9.648
16,518.381,550.780,9.740
17,550.780,583.179,9.546
18,583.179,615.578,9.413
19,615.578,647.977,9.555
20,647.977,680.376,9.833
21,680.376,712.774,9.596
22,712.774,745.173,9.494
23,745.173,777.572,9.674
24,777.572,809.971,9.427
25,809.971,842.370,9.570
26,842.370,874.769,9.521
27,874.769,907.167,9.344
28,907.167,939.566,9.511
29,939.566,971.965,9.233
