timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,1.001,0.501
1,1.001,2.001,0.676
2,2.001,3.002,1.391
3,3.002,4.002,0.923
4,4.002,5.003,0.607
5,5.003,6.003,0.643
6,6.003,7.004,0.526
7,7.004,8.004,0.540
8,8.004,9.005,0.586
9,9.005,10.005,1.287
10,10.005,11.006,0.682
11,11.006,12.006,0.752
12,12.006,13.007,0.634
13,13.007,14.007,0.999
14,14.007,15.008,0.653
15,15.008,16.008,0.655
16,16.008,17.009,1.139
17,17.009,18.009,0.918
18,18.009,19.010,0.552
19,19.010,20.011,0.565
20,20.011,21.011,0.702
21,21.011,22.012,0.612
22,22.012,23.012,0.554
23,23.012,24.013,1.381
24,24.013,25.013,1.037
25,25.013,26.014,0.791
26,26.014,27.014,0.629
27,27.014,28.015,0.568
28,28.015,29.015,0.578
29,29.015,30.016,0.612
30,30.016,31.016,1.222
31,31.016,32.017,0.849
32,32.017,33.017,0.616
33,33.017,34.018,0.555
34,34.018,35.018,0.614
35,35.018,36.019,1.123
36,36.019,37.019,1.086
37,37.019,38.020,0.843
38,38.020,39.021,0.622
39,39.021,40.021,0.548
40,40.021,41.022,0.746
41,41.022,42.022,0.593
42,42.022,43.023,0.570
43,43.023,44.023,1.348
44,44.023,45.024,0.915
45,45.024,46.024,0.625
46,46.024,47.025,1.054
47,47.025,48.025,0.624
48,48.025,49.026,0.562
49,49.026,50.026,1.200
50,50.026,51.027,0.895
51,51.027,52.027,0.539
52,52.027,53.028,0.590
53,53.028,54.028,0.607
54,54.028,55.029,0.565
55,55.029,56.029,1.320
56,56.029,57.030,0.923
57,57.030,58.031,0.987
58,58.031,59.031,0.596
59,59.031,60.032,0.616
60,60.032,61.032,0.635
61,61.032,62.033,0.568
62,62.033,63.033,0.835
63,63.033,64.034,1.077
64,64.034,65.034,0.782
65,65.034,66.035,0.756
66,66.035,67.035,0.552
67,67.035,68.036,0.562
68,68.036,69.036,1.031
69,69.036,70.037,1.157
70,70.037,71.037,0.983
71,71.037,72.038,0.646
72,72.038,73.038,0.565
73,73.038,74.039,0.560
74,74.039,75.039,0.592
75,75.039,76.040,0.666
76,76.040,77.041,1.472
77,77.041,78.041,0.838
78,78.041,79.042,0.580
79,79.042,80.042,0.886
80,80.042,81.043,0.704
81,81.043,82.043,0.556
82,82.043,83.044,1.300
83,83.044,84.044,0.849
84,84.044,85.045,0.656
85,85.045,86.045,0.657
86,86.045,87.046,0.611
87,87.046,88.046,0.576
88,88.046,89.047,0.582
89,89.047,90.047,1.371
90,90.047,91.048,1.058
91,91.048,92.048,0.821
92,92.048,93.049,0.824
93,93.049,94.049,0.480
94,94.049,95.050,0.183
95,95.050,96.051,1.896
96,96.051,97.051,1.467
97,97.051,98.052,2.000
98,98.052,99.052,1.800
99,99.052,100.053,1.589
100,100.053,101.053,1.587
101,101.053,102.054,2.282
102,102.054,103.054,1.553
103,103.054,104.055,1.584
