timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,17.240,0.136
1,17.240,34.481,0.139
2,34.481,51.721,0.127
3,51.721,68.962,0.143
4,68.962,86.202,0.168
5,86.202,103.443,0.123
6,103.443,120.683,0.136
7,120.683,137.924,0.137
8,137.924,155.164,0.152
9,155.164,172.405,0.143
10,172.405,189.645,0.122
11,189.645,206.886,0.130
12,206.886,224.126,0.148
13,224.126,241.366,0.163
14,241.366,258.607,0.113
15,258.607,275.847,0.178
16,275.847,293.088,0.133
17,293.088,310.328,0.208
18,310.328,327.569,0.110
19,327.569,344.809,0.126
20,344.809,362.050,0.214
21,362.050,379.290,0.287
22,379.290,396.531,0.222
23,396.531,413.771,0.203
24,413.771,431.011,0.205
25,431.011,448.252,0.180
26,448.252,465.492,0.201
27,465.492,482.733,0.133
28,482.733,499.973,0.118
29,499.973,517.214,0.187
