timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,38.212,7.623
1,38.212,76.425,7.094
2,76.425,114.637,7.868
3,114.637,152.849,7.603
4,152.849,191.062,7.653
5,191.062,229.274,8.194
6,229.274,267.486,7.102
7,267.486,305.699,8.783
8,305.699,343.911,7.806
9,343.911,382.123,8.150
10,382.123,420.335,8.209
11,420.335,458.548,7.286
12,458.548,496.760,8.952
13,496.760,534.972,7.763
14,534.972,573.185,8.081
15,573.185,611.397,8.428
16,611.397,649.609,7.284
17,649.609,687.822,9.079
18,687.822,726.034,8.229
19,726.034,764.246,7.878
20,764.246,802.459,8.746
21,802.459,840.671,7.541
22,840.671,878.883,8.892
23,878.883,917.096,8.182
24,917.096,955.308,7.808
25,955.308,993.520,8.827
26,993.520,1031.733,7.812
27,1031.733,1069.945,8.572
28,1069.945,1108.157,8.375
29,1108.157,1146.370,7.517
