timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,1.001,1.537
1,1.001,2.003,0.908
2,2.003,3.004,0.839
3,3.004,4.006,0.788
4,4.006,5.007,0.900
5,5.007,6.009,0.816
6,6.009,7.010,1.487
7,7.010,8.011,1.157
8,8.011,9.013,1.336
9,9.013,10.014,0.955
10,10.014,11.016,0.878
11,11.016,12.017,0.841
12,12.017,13.019,0.981
13,13.019,14.020,1.387
14,14.020,15.021,1.040
15,15.021,16.023,0.866
16,16.023,17.024,0.839
17,17.024,18.026,0.876
18,18.026,19.027,0.941
19,19.027,20.029,1.798
20,20.029,21.030,1.092
21,21.030,22.031,1.093
22,22.031,23.033,0.847
23,23.033,24.034,0.884
24,24.034,25.036,0.947
25,25.036,26.037,0.812
26,26.037,27.039,0.909
27,27.039,28.040,1.568
28,28.040,29.041,0.824
29,29.041,30.043,0.967
30,30.043,31.044,1.150
31,31.044,32.046,0.938
32,32.046,33.047,0.871
33,33.047,34.049,1.717
34,34.049,35.050,1.119
35,35.050,36.051,0.904
36,36.051,37.053,0.878
37,37.053,38.054,0.811
38,38.054,39.056,0.990
39,39.056,40.057,1.658
40,40.057,41.059,1.128
41,41.059,42.060,1.398
42,42.060,43.062,0.842
43,43.062,44.063,0.912
44,44.063,45.064,0.890
45,45.064,46.066,1.443
46,46.066,47.067,1.227
47,47.067,48.069,0.940
48,48.069,49.070,0.906
49,49.070,50.072,0.847
50,50.072,51.073,0.861
51,51.073,52.074,0.894
52,52.074,53.076,1.950
53,53.076,54.077,1.158
54,54.077,55.079,0.824
55,55.079,56.080,0.957
56,56.080,57.082,0.894
57,57.082,58.083,0.848
58,58.083,59.084,0.966
59,59.084,60.086,1.501
60,60.086,61.087,0.925
61,61.087,62.089,0.963
62,62.089,63.090,1.118
63,63.090,64.092,1.362
64,64.092,65.093,0.866
65,65.093,66.094,0.999
66,66.094,67.096,0.827
67,67.096,68.097,1.035
68,68.097,69.099,1.562
69,69.099,70.100,1.049
70,70.100,71.102,0.843
71,71.102,72.103,0.902
72,72.103,73.104,0.860
73,73.104,74.106,0.874
74,74.106,75.107,1.541
75,75.107,76.109,1.402
76,76.109,77.110,0.903
77,77.110,78.112,1.032
78,78.112,79.113,1.041
79,79.113,80.114,0.875
80,80.114,81.116,0.851
81,81.116,82.117,0.876
82,82.117,83.119,0.933
83,83.119,84.120,1.236
84,84.120,85.122,1.315
85,85.122,86.123,1.306
86,86.123,87.124,0.744
87,87.124,88.126,1.876
88,88.126,89.127,1.473
89,89.127,90.129,1.626
90,90.129,91.130,2.327
91,91.130,92.132,1.865
92,92.132,93.133,1.588
93,93.133,94.134,1.600
94,94.134,95.136,1.543
95,95.136,96.137,1.570
96,96.137,97.139,3.208
97,97.139,98.140,1.851
98,98.140,99.142,1.594
99,99.142,100.143,1.381
100,100.143,101.144,1.603
101,101.144,102.146,1.575
102,102.146,103.147,1.584
103,103.147,104.149,2.246
104,104.149,105.150,1.706
105,105.150,106.152,1.377
106,106.152,107.153,1.373
107,107.153,108.154,2.253
108,108.154,109.156,1.505
109,109.156,110.157,2.145
110,110.157,111.159,1.789
111,111.159,112.160,1.514
112,112.160,113.162,8.064
113,113.162,114.163,17.148
114,114.163,115.164,17.273
115,115.164,116.166,18.475
116,116.166,117.167,18.408
117,117.167,118.169,18.166
118,118.169,119.170,18.035
119,119.170,120.172,17.822
120,120.172,121.173,17.426
121,121.173,122.175,17.400
122,122.175,123.176,17.492
123,123.176,124.177,17.527
124,124.177,125.179,17.724
125,125.179,126.180,18.048
126,126.180,127.182,17.764
127,127.182,128.183,17.427
128,128.183,129.185,17.587
129,129.185,130.186,17.928
130,130.186,131.187,18.178
131,131.187,132.189,18.842
132,132.189,133.190,18.498
133,133.190,134.192,18.589
134,134.192,135.193,18.119
135,135.193,136.195,18.010
136,136.195,137.196,18.104
137,137.196,138.197,18.073
138,138.197,139.199,18.152
139,139.199,140.200,16.576
140,140.200,141.202,25.252
141,141.202,142.203,34.336
142,142.203,143.205,40.030
143,143.205,144.206,40.591
144,144.206,145.207,24.558
145,145.207,146.209,29.207
146,146.209,147.210,34.313
147,147.210,148.212,34.710
148,148.212,149.213,34.670
149,149.213,150.215,34.653
150,150.215,151.216,34.708
151,151.216,152.217,34.061
152,152.217,153.219,34.360
153,153.219,154.220,34.338
154,154.220,155.222,34.650
155,155.222,156.223,34.663
156,156.223,157.225,34.644
157,157.225,158.226,34.657
158,158.226,159.227,34.707
159,159.227,160.229,34.090
160,160.229,161.230,34.602
161,161.230,162.232,34.557
162,162.232,163.233,34.143
163,163.233,164.235,34.099
164,164.235,165.236,33.541
165,165.236,166.237,34.350
166,166.237,167.239,34.019
167,167.239,168.240,34.463
168,168.240,169.242,34.353
169,169.242,170.243,34.506
170,170.243,171.245,34.500
171,171.245,172.246,34.637
172,172.246,173.247,34.029
173,173.247,174.249,34.229
174,174.249,175.250,34.455
175,175.250,176.252,34.515
176,176.252,177.253,34.489
177,177.253,178.255,34.506
178,178.255,179.256,33.720
179,179.256,180.257,34.441
180,180.257,181.259,33.732
181,181.259,182.260,18.207
182,182.260,183.262,22.217
183,183.262,184.263,22.028
184,184.263,185.265,23.423
185,185.265,186.266,21.978
186,186.266,187.267,20.790
187,187.267,188.269,20.539
188,188.269,189.270,20.498
189,189.270,190.272,20.355
190,190.272,191.273,20.260
191,191.273,192.275,20.144
192,192.275,193.276,20.023
193,193.276,194.278,20.227
194,194.278,195.279,19.963
195,195.279,196.280,19.872
196,196.280,197.282,19.927
197,197.282,198.283,20.026
198,198.283,199.285,19.904
199,199.285,200.286,19.905
200,200.286,201.288,20.235
201,201.288,202.289,19.922
202,202.289,203.290,20.033
203,203.290,204.292,20.016
204,204.292,205.293,19.815
205,205.293,206.295,19.728
206,206.295,207.296,19.753
207,207.296,208.298,20.221
208,208.298,209.299,20.011
209,209.299,210.300,19.927
210,210.300,211.302,19.963
211,211.302,212.303,20.075
212,212.303,213.305,19.958
213,213.305,214.306,19.878
214,214.306,215.308,19.864
215,215.308,216.309,19.830
216,216.309,217.310,20.025
217,217.310,218.312,20.049
