r:w,bandwidth(GB/s),latency(ns)
1:0,68.0861328125,355.52
1:0,68.203125,355.42
1:0,68.1892578125,355.31
1:0,68.164453125,353.40
1:0,68.485546875,332.49
1:0,68.2384765625,265.62
1:0,54.35,129.71
1:0,39.81533203125,109.17
1:0,30.85869140625,101.58
1:0,25.22265625,98.35
1:0,18.5580078125,93.33
1:0,13.378125,91.55
1:0,10.53154296875,89.76
1:0,8.2623046875,89.34
1:0,5.91318359375,84.69
1:0,4.4658203125,82.55
1:0,3.36708984375,81.68
1:0,2.21455078125,81.42
1:0,1.422265625,81.29
4:1,60.25537109375,469.81
4:1,60.74365234375,470.31
4:1,60.4291015625,471.74
4:1,60.26171875,466.97
4:1,60.48935546875,458.35
4:1,60.24013671875,354.04
4:1,38.63349609375,114.97
4:1,26.64521484375,101.24
4:1,20.394921875,97.58
4:1,16.57373046875,95.48
4:1,12.13603515625,93.21
4:1,8.756640625,91.84
4:1,6.94462890625,87.97
4:1,5.49541015625,87.30
4:1,3.97529296875,87.28
4:1,3.07734375,83.84
4:1,2.401171875,81.50
4:1,1.6779296875,81.30
4:1,1.18466796875,80.60
