bandwidth(GB/s),latency(ns),channel
38.9169921875,601.97,2
38.9234375,600.79,2
38.942578125,601.30,2
38.92900390625,598.98,2
38.9900390625,563.92,2
39.0763671875,502.98,2
39.04033203125,448.71,2
38.05107421875,219.91,2
30.60546875,128.15,2
25.2130859375,113.82,2
18.5765625,99.82,2
13.396484375,95.63,2
10.55576171875,91.50,2
8.283984375,90.36,2
5.8958984375,89.19,2
4.43408203125,88.14,2
3.35322265625,84.45,2
2.2119140625,82.35,2
1.42998046875,80.78,2
50.70732421875,434.37,3
50.69384765625,433.67,3
50.658203125,433.75,3
50.72529296875,432.43,3
50.84189453125,417.94,3
50.95791015625,370.40,3
50.61591796875,228.79,3
39.316015625,127.77,3
30.769921875,108.98,3
25.17802734375,102.20,3
18.51396484375,98.28,3
13.3533203125,93.89,3
10.506640625,92.54,3
8.23916015625,91.97,3
5.8625,90.69,3
4.41787109375,88.11,3
3.3275390625,86.10,3
2.19384765625,83.68,3
1.41650390625,81.91,3
68.0861328125,355.52,4
68.203125,355.42,4
68.1892578125,355.31,4
68.164453125,353.40,4
68.485546875,332.49,4
68.2384765625,265.62,4
54.35,129.71,4
39.81533203125,109.17,4
30.85869140625,101.58,4
25.22265625,98.35,4
18.5580078125,93.33,4
13.378125,91.55,4
10.53154296875,89.76,4
8.2623046875,89.34,4
5.91318359375,84.69,4
4.4658203125,82.55,4
3.36708984375,81.68,4
2.21455078125,81.42,4
1.422265625,81.29,4
19.41337890625,1126.72,1
19.42509765625,1126.78,1
19.42001953125,1127.07,1
19.43125,1124.41,1
19.4173828125,1089.39,1
19.42548828125,1007.48,1
19.4275390625,964.99,1
19.42802734375,909.67,1
19.4310546875,847.43,1
19.4720703125,755.10,1
18.22978515625,162.42,1
13.23359375,113.61,1
10.44658203125,100.73,1
8.2560546875,89.46,1
5.93701171875,81.68,1
4.51044921875,77.93,1
3.42705078125,75.69,1
2.3052734375,72.77,1
1.53818359375,70.63,1
68.12705078125,356.80,5
68.19423828125,357.65,5
68.18154296875,356.81,5
68.17412109375,355.16,5
68.4509765625,333.96,5
68.20302734375,266.13,5
54.26064453125,129.93,5
39.68779296875,108.41,5
30.8029296875,100.82,5
25.1736328125,99.47,5
18.526171875,94.47,5
13.35302734375,92.43,5
10.5123046875,90.41,5
8.25361328125,89.22,5
5.91162109375,84.11,5
4.463671875,82.41,5
3.36396484375,81.72,5
2.2125,81.48,5
1.42490234375,80.95,5
