r:w,bandwidth(GB/s),latency(ns)
1:0,19.17392578125,1039.58
1:0,19.48388671875,1018.78
1:0,19.46494140625,1003.00
1:0,19.4548828125,1015.95
1:0,19.45048828125,995.49
1:0,19.4744140625,910.21
1:0,19.47138671875,894.02
1:0,19.46962890625,823.12
1:0,19.4970703125,765.99
1:0,19.52900390625,700.23
1:0,18.1560546875,176.51
1:0,13.296875,100.24
1:0,10.52900390625,88.27
1:0,8.34033203125,79.37
1:0,6.1138671875,66.24
1:0,4.58193359375,71.44
1:0,3.5240234375,67.64
1:0,2.417578125,64.33
1:0,1.6361328125,63.58
4:1,14.3888671875,1710.65
4:1,14.569140625,1693.85
4:1,14.54560546875,1687.32
4:1,14.52470703125,1668.57
4:1,14.544921875,1667.00
4:1,14.49365234375,1618.77
4:1,14.5240234375,1586.85
4:1,14.53115234375,1557.28
4:1,14.5396484375,1431.98
4:1,14.54658203125,943.91
4:1,11.998828125,110.10
4:1,8.7091796875,95.97
4:1,6.9595703125,84.67
4:1,5.5203125,83.54
4:1,4.0490234375,78.70
4:1,3.1203125,79.03
4:1,2.48095703125,73.72
4:1,1.83359375,67.55
4:1,1.3388671875,67.20
