timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,45.046,1.083
1,45.046,90.091,1.930
2,90.091,135.137,2.869
3,135.137,180.183,3.599
4,180.183,225.229,5.807
5,225.229,270.274,4.551
6,270.274,315.320,1.602
7,315.320,360.366,2.058
8,360.366,405.411,3.246
9,405.411,450.457,4.305
10,450.457,495.503,7.229
11,495.503,540.549,1.598
12,540.549,585.594,1.897
13,585.594,630.640,2.585
14,630.640,675.686,3.198
15,675.686,720.731,5.277
16,720.731,765.777,6.138
17,765.777,810.823,1.241
18,810.823,855.869,1.936
19,855.869,900.914,3.125
20,900.914,945.960,3.857
21,945.960,991.006,6.253
22,991.006,1036.051,3.488
23,1036.051,1081.097,1.695
24,1081.097,1126.143,2.267
25,1126.143,1171.189,3.214
26,1171.189,1216.234,4.606
27,1216.234,1261.280,7.234
28,1261.280,1306.326,1.111
29,1306.326,1351.371,1.898
