timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,18.558,0.538
1,18.558,37.116,0.611
2,37.116,55.674,0.553
3,55.674,74.233,0.474
4,74.233,92.791,0.297
5,92.791,111.349,0.276
6,111.349,129.907,0.348
7,129.907,148.465,0.302
8,148.465,167.023,0.308
9,167.023,185.582,0.360
10,185.582,204.140,0.259
11,204.140,222.698,0.312
12,222.698,241.256,0.264
13,241.256,259.814,0.293
14,259.814,278.372,0.275
15,278.372,296.930,0.325
16,296.930,315.489,0.323
17,315.489,334.047,0.277
18,334.047,352.605,0.307
19,352.605,371.163,0.283
20,371.163,389.721,0.255
21,389.721,408.279,0.297
22,408.279,426.837,0.263
23,426.837,445.396,0.299
24,445.396,463.954,0.260
25,463.954,482.512,0.323
26,482.512,501.070,0.285
27,501.070,519.628,0.266
28,519.628,538.186,0.283
29,538.186,556.745,0.265
