timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,0.184,1.182
1,0.184,0.369,0.715
2,0.369,0.553,0.709
3,0.553,0.737,2.223
4,0.737,0.921,2.239
5,0.921,1.106,1.018
6,1.106,1.290,1.225
7,1.290,1.474,2.004
8,1.474,1.658,2.422
9,1.658,1.843,1.613
10,1.843,2.027,1.549
11,2.027,2.211,1.503
12,2.211,2.395,1.516
13,2.395,2.580,1.586
14,2.580,2.764,1.523
15,2.764,2.948,1.503
16,2.948,3.132,1.500
17,3.132,3.317,1.559
18,3.317,3.501,1.529
19,3.501,3.685,1.504
20,3.685,3.870,1.492
21,3.870,4.054,1.497
22,4.054,4.238,1.510
23,4.238,4.422,1.503
24,4.422,4.607,1.607
25,4.607,4.791,1.494
26,4.791,4.975,1.495
27,4.975,5.159,1.492
28,5.159,5.344,1.683
29,5.344,5.528,1.490
30,5.528,5.712,1.483
31,5.712,5.896,1.661
32,5.896,6.081,26.882
33,6.081,6.265,27.611
34,6.265,6.449,27.705
35,6.449,6.633,27.996
36,6.633,6.818,28.169
37,6.818,7.002,27.935
38,7.002,7.186,27.780
39,7.186,7.371,28.142
40,7.371,7.555,28.435
41,7.555,7.739,28.785
42,7.739,7.923,28.696
43,7.923,8.108,27.521
44,8.108,8.292,28.015
45,8.292,8.476,28.229
46,8.476,8.660,28.346
47,8.660,8.845,28.567
48,8.845,9.029,28.100
49,9.029,9.213,26.685
50,9.213,9.397,26.041
51,9.397,9.582,25.622
52,9.582,9.766,25.428
53,9.766,9.950,25.291
54,9.950,10.134,25.773
55,10.134,10.319,26.320
56,10.319,10.503,26.898
57,10.503,10.687,27.334
58,10.687,10.872,26.432
59,10.872,11.056,24.734
60,11.056,11.240,29.540
61,11.240,11.424,30.642
62,11.424,11.609,30.985
63,11.609,11.793,31.466
64,11.793,11.977,31.852
65,11.977,12.161,32.203
66,12.161,12.346,32.351
67,12.346,12.530,32.659
68,12.530,12.714,32.655
69,12.714,12.898,32.891
70,12.898,13.083,33.047
71,13.083,13.267,32.162
72,13.267,13.451,30.228
73,13.451,13.635,29.332
74,13.635,13.820,28.798
75,13.820,14.004,29.617
76,14.004,14.188,30.532
77,14.188,14.373,31.238
78,14.373,14.557,31.767
79,14.557,14.741,32.070
80,14.741,14.925,32.554
81,14.925,15.110,32.990
82,15.110,15.294,31.376
83,15.294,15.478,31.951
84,15.478,15.662,32.211
85,15.662,15.847,32.472
86,15.847,16.031,32.813
87,16.031,16.215,32.589
88,16.215,16.399,32.468
89,16.399,16.584,32.793
90,16.584,16.768,32.806
91,16.768,16.952,33.364
92,16.952,17.136,31.104
93,17.136,17.321,30.202
94,17.321,17.505,30.847
95,17.505,17.689,31.520
96,17.689,17.874,31.738
97,17.874,18.058,32.526
98,18.058,18.242,32.535
99,18.242,18.426,32.383
100,18.426,18.611,32.765
101,18.611,18.795,32.817
102,18.795,18.979,32.680
103,18.979,19.163,32.470
104,19.163,19.348,31.527
105,19.348,19.532,31.885
106,19.532,19.716,32.594
107,19.716,19.900,32.644
108,19.900,20.085,32.718
109,20.085,20.269,32.766
110,20.269,20.453,32.849
111,20.453,20.637,32.865
112,20.637,20.822,32.645
113,20.822,21.006,30.920
114,21.006,21.190,33.336
115,21.190,21.375,34.078
116,21.375,21.559,32.611
117,21.559,21.743,32.521
118,21.743,21.927,32.563
119,21.927,22.112,32.398
120,22.112,22.296,32.760
121,22.296,22.480,31.915
122,22.480,22.664,32.264
