timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,1.001,0.518
1,1.001,2.002,0.529
2,2.002,3.004,1.070
3,3.004,4.005,0.726
4,4.005,5.006,0.623
5,5.006,6.007,0.893
6,6.007,7.008,0.591
7,7.008,8.010,0.624
8,8.010,9.011,0.886
9,9.011,10.012,0.959
10,10.012,11.013,0.599
11,11.013,12.014,0.601
12,12.014,13.015,0.652
13,13.015,14.017,0.546
14,14.017,15.018,0.618
15,15.018,16.019,1.465
16,16.019,17.020,0.849
17,17.020,18.021,0.778
18,18.021,19.023,0.705
19,19.023,20.024,0.524
20,20.024,21.025,0.681
21,21.025,22.026,0.639
22,22.026,23.027,0.552
23,23.027,24.029,1.392
24,24.029,25.030,0.869
25,25.030,26.031,0.585
26,26.031,27.032,0.715
27,27.032,28.033,0.909
28,28.033,29.035,0.524
29,29.035,30.036,0.573
30,30.036,31.037,1.255
31,31.037,32.038,0.815
32,32.038,33.039,0.589
33,33.039,34.041,0.547
34,34.041,35.042,0.585
35,35.042,36.043,0.657
36,36.043,37.044,0.869
37,37.044,38.045,1.162
38,38.045,39.046,1.079
39,39.046,40.048,0.544
40,40.048,41.049,0.695
41,41.049,42.050,0.581
42,42.050,43.051,0.571
43,43.051,44.052,1.344
44,44.052,45.054,0.909
45,45.054,46.055,0.630
46,46.055,47.056,0.619
47,47.056,48.057,0.590
48,48.057,49.058,0.685
49,49.058,50.060,1.294
50,50.060,51.061,1.386
51,51.061,52.062,0.602
52,52.062,53.063,0.617
53,53.063,54.064,0.590
54,54.064,55.066,0.577
55,55.066,56.067,0.647
56,56.067,57.068,1.358
57,57.068,58.069,0.796
58,58.069,59.070,0.589
59,59.070,60.071,0.698
60,60.071,61.073,0.975
61,61.073,62.074,0.604
62,62.074,63.075,1.329
63,63.075,64.076,0.863
64,64.076,65.077,0.603
65,65.077,66.079,0.635
66,66.079,67.080,0.671
67,67.080,68.081,0.596
68,68.081,69.082,0.633
69,69.082,70.083,1.335
70,70.083,71.085,0.879
71,71.085,72.086,0.927
72,72.086,73.087,0.621
73,73.087,74.088,0.578
74,74.088,75.089,0.564
75,75.089,76.091,1.481
76,76.091,77.092,0.811
77,77.092,78.093,0.521
78,78.093,79.094,0.623
79,79.094,80.095,0.604
