timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,1.001,0.526
1,1.001,2.002,0.544
2,2.002,3.003,0.519
3,3.003,4.004,0.549
4,4.004,5.005,0.755
5,5.005,6.006,1.294
6,6.006,7.007,0.572
7,7.007,8.008,0.975
8,8.008,9.009,0.517
9,9.009,10.010,0.620
10,10.010,11.011,0.639
11,11.011,12.012,1.255
12,12.012,13.013,0.709
13,13.013,14.014,0.572
14,14.014,15.015,0.538
15,15.015,16.016,0.694
16,16.016,17.017,0.538
17,17.017,18.018,1.356
18,18.018,19.019,0.987
19,19.019,20.020,0.850
20,20.020,21.021,0.674
21,21.021,22.022,0.618
22,22.022,23.024,0.576
23,23.024,24.025,0.575
24,24.025,25.026,0.592
25,25.026,26.027,1.338
26,26.027,27.028,0.771
27,27.028,28.029,0.586
28,28.029,29.030,0.542
29,29.030,30.031,0.836
30,30.031,31.032,0.731
31,31.032,32.033,1.112
32,32.033,33.034,0.953
33,33.034,34.035,0.619
34,34.035,35.036,0.594
35,35.036,36.037,0.649
36,36.037,37.038,0.622
37,37.038,38.039,0.718
38,38.039,39.040,1.144
39,39.040,40.041,0.678
40,40.041,41.042,1.099
41,41.042,42.043,0.911
42,42.043,43.044,0.593
43,43.044,44.045,0.541
44,44.045,45.046,0.546
45,45.046,46.047,0.683
46,46.047,47.048,0.549
47,47.048,48.049,1.228
48,48.049,49.050,0.645
49,49.050,50.051,0.614
50,50.051,51.052,0.896
51,51.052,52.053,0.879
52,52.053,53.054,0.690
53,53.054,54.055,0.584
54,54.055,55.056,0.563
55,55.056,56.057,1.037
56,56.057,57.058,0.897
57,57.058,58.059,0.873
58,58.059,59.060,0.551
59,59.060,60.061,0.540
60,60.061,61.062,0.687
61,61.062,62.063,0.531
62,62.063,63.064,0.858
63,63.064,64.065,1.331
64,64.065,65.066,0.659
65,65.066,66.067,0.821
66,66.067,67.069,0.849
67,67.069,68.070,0.516
68,68.070,69.071,0.560
69,69.071,70.072,0.576
70,70.072,71.073,0.632
71,71.073,72.074,0.824
72,72.074,73.075,1.166
73,73.075,74.076,0.621
74,74.076,75.077,1.116
75,75.077,76.078,0.810
76,76.078,77.079,0.559
77,77.079,78.080,0.547
78,78.080,79.081,0.578
79,79.081,80.082,0.542
80,80.082,81.083,0.641
81,81.083,82.084,1.266
82,82.084,83.085,0.686
83,83.085,84.086,0.616
84,84.086,85.087,0.675
85,85.087,86.088,1.147
86,86.088,87.089,0.806
87,87.089,88.090,0.590
88,88.090,89.091,0.588
89,89.091,90.092,0.564
90,90.092,91.093,0.673
91,91.093,92.094,1.248
92,92.094,93.095,0.739
93,93.095,94.096,0.635
94,94.096,95.097,2.215
95,95.097,96.098,1.474
96,96.098,97.099,2.331
97,97.099,98.100,1.616
98,98.100,99.101,1.618
99,99.101,100.102,2.246
100,100.102,101.103,1.820
101,101.103,102.104,1.582
102,102.104,103.105,1.602
103,103.105,104.106,1.564
104,104.106,105.107,1.592
105,105.107,106.108,2.124
106,106.108,107.109,1.963
