timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,1.002,0.506
1,1.002,2.003,0.835
2,2.003,3.005,1.054
3,3.005,4.006,0.682
4,4.006,5.008,0.957
5,5.008,6.010,0.572
6,6.010,7.011,0.602
7,7.011,8.013,0.554
8,8.013,9.014,1.290
9,9.014,10.016,0.869
10,10.016,11.018,0.558
11,11.018,12.019,0.608
12,12.019,13.021,0.640
13,13.021,14.022,0.583
14,14.022,15.024,1.511
15,15.024,16.026,1.043
16,16.026,17.027,0.771
17,17.027,18.029,0.651
18,18.029,19.030,0.582
19,19.030,20.032,0.645
20,20.032,21.034,0.580
21,21.034,22.035,1.344
22,22.035,23.037,0.803
23,23.037,24.038,0.571
24,24.038,25.040,0.674
25,25.040,26.042,0.673
26,26.042,27.043,0.959
27,27.043,28.045,0.957
28,28.045,29.046,1.087
29,29.046,30.048,0.650
30,30.048,31.049,0.546
31,31.049,32.051,0.595
32,32.051,33.053,0.670
33,33.053,34.054,0.568
34,34.054,35.056,1.395
35,35.056,36.057,0.661
36,36.057,37.059,0.955
37,37.059,38.061,0.909
38,38.061,39.062,0.562
39,39.062,40.064,0.646
40,40.064,41.065,0.543
41,41.065,42.067,1.192
42,42.067,43.069,0.911
43,43.069,44.070,0.593
44,44.070,45.072,0.658
45,45.072,46.073,0.578
46,46.073,47.075,0.547
47,47.075,48.077,0.797
48,48.077,49.078,1.508
49,49.078,50.080,0.828
50,50.080,51.081,0.714
51,51.081,52.083,0.576
52,52.083,53.085,0.572
53,53.085,54.086,0.598
54,54.086,55.088,0.620
55,55.088,56.089,1.208
56,56.089,57.091,0.925
57,57.091,58.093,0.577
58,58.093,59.094,0.631
59,59.094,60.096,0.935
60,60.096,61.097,0.671
61,61.097,62.099,0.607
62,62.099,63.101,1.210
63,63.101,64.102,0.641
64,64.102,65.104,0.690
65,65.104,66.105,0.820
66,66.105,67.107,0.530
67,67.107,68.109,0.555
68,68.109,69.110,0.620
69,69.110,70.112,0.637
70,70.112,71.113,0.917
71,71.113,72.115,1.476
72,72.115,73.117,0.852
73,73.117,74.118,0.628
74,74.118,75.120,0.596
75,75.120,76.121,0.568
76,76.121,77.123,0.548
77,77.123,78.125,1.187
78,78.125,79.126,1.067
79,79.126,80.128,0.566
80,80.128,81.129,0.598
81,81.129,82.131,0.771
82,82.131,83.132,0.711
83,83.132,84.134,0.827
84,84.134,85.136,1.251
85,85.136,86.137,0.754
86,86.137,87.139,0.620
87,87.139,88.140,0.575
88,88.140,89.142,0.490
89,89.142,90.144,1.505
90,90.144,91.145,1.899
91,91.145,92.147,1.831
92,92.147,93.148,2.259
93,93.148,94.150,1.695
94,94.150,95.152,1.580
95,95.152,96.153,1.623
96,96.153,97.155,1.967
97,97.155,98.156,1.996
98,98.156,99.158,1.611
99,99.158,100.160,1.525
100,100.160,101.161,1.546
101,101.161,102.163,1.571
102,102.163,103.164,1.526
103,103.164,104.166,3.331
104,104.166,105.168,1.799
105,105.168,106.169,1.406
106,106.169,107.171,1.357
107,107.171,108.172,1.525
108,108.172,109.174,1.496
109,109.174,110.176,2.130
110,110.176,111.177,1.810
111,111.177,112.179,1.483
112,112.179,113.180,1.499
113,113.180,114.182,1.692
