timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,1.000,0.771
1,1.000,2.001,0.590
2,2.001,3.001,0.553
3,3.001,4.002,0.615
4,4.002,5.002,0.721
5,5.002,6.003,1.101
6,6.003,7.003,1.345
7,7.003,8.004,0.698
8,8.004,9.004,0.809
9,9.004,10.005,0.733
10,10.005,11.005,0.603
11,11.005,12.006,0.620
12,12.006,13.006,0.669
13,13.006,14.006,1.358
14,14.006,15.007,1.062
15,15.007,16.007,0.665
16,16.007,17.008,0.915
17,17.008,18.008,0.777
18,18.008,19.009,0.651
19,19.009,20.009,0.812
20,20.009,21.010,1.107
21,21.010,22.010,0.914
22,22.010,23.011,0.564
23,23.011,24.011,0.635
24,24.011,25.012,0.752
25,25.012,26.012,0.601
26,26.012,27.012,0.634
27,27.012,28.013,1.279
28,28.013,29.013,1.234
29,29.013,30.014,0.858
30,30.014,31.014,0.819
31,31.014,32.015,0.587
32,32.015,33.015,0.614
33,33.015,34.016,0.623
34,34.016,35.016,0.666
35,35.016,36.017,0.845
36,36.017,37.017,1.122
37,37.017,38.018,0.669
38,38.018,39.018,0.752
39,39.018,40.018,1.117
40,40.018,41.019,0.813
41,41.019,42.019,0.603
42,42.019,43.020,0.667
43,43.020,44.020,0.632
44,44.020,45.021,0.635
45,45.021,46.021,0.999
46,46.021,47.022,0.866
47,47.022,48.022,0.671
48,48.022,49.023,0.779
49,49.023,50.023,0.867
50,50.023,51.024,0.791
51,51.024,52.024,0.772
52,52.024,53.024,0.611
53,53.024,54.025,0.682
54,54.025,55.025,0.985
55,55.025,56.026,0.909
56,56.026,57.026,0.763
57,57.026,58.027,0.661
58,58.027,59.027,0.708
59,59.027,60.028,0.691
60,60.028,61.028,0.645
61,61.028,62.029,1.492
62,62.029,63.029,0.954
63,63.029,64.030,0.767
64,64.030,65.030,0.712
65,65.030,66.030,0.672
66,66.030,67.031,0.797
67,67.031,68.031,0.611
68,68.031,69.032,0.682
69,69.032,70.032,0.706
70,70.032,71.033,0.663
71,71.033,72.033,1.348
72,72.033,73.034,0.924
73,73.034,74.034,1.180
74,74.034,75.035,0.624
75,75.035,76.035,0.620
76,76.035,77.036,0.686
77,77.036,78.036,1.227
78,78.036,79.036,0.756
79,79.036,80.037,0.810
80,80.037,81.037,0.651
81,81.037,82.038,0.618
82,82.038,83.038,0.681
83,83.038,84.039,0.636
84,84.039,85.039,1.067
85,85.039,86.040,1.383
86,86.040,87.040,2.091
87,87.040,88.041,1.196
88,88.041,89.041,1.616
89,89.041,90.042,1.618
90,90.042,91.042,1.664
91,91.042,92.042,2.290
92,92.042,93.043,1.797
93,93.043,94.043,1.628
94,94.043,95.044,1.519
95,95.044,96.044,2.217
96,96.044,97.045,1.563
97,97.045,98.045,1.406
98,98.045,99.046,2.190
99,99.046,100.046,1.782
100,100.046,101.047,1.513
101,101.047,102.047,1.504
102,102.047,103.048,1.448
103,103.048,104.048,1.377
104,104.048,105.048,2.266
105,105.048,106.049,2.152
